GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore-tdd,com.example.bookstore.service,CartService,0,70,0,10,0,14,0,9,0,4
bookstore-tdd,com.example.bookstore.service,OrderService,2,73,1,7,0,17,1,6,0,3
bookstore-tdd,com.example.bookstore.model.enums,PaymentStatus,0,21,0,0,0,2,0,1,0,1
bookstore-tdd,com.example.bookstore.model.enums,PaymentMethod,0,21,0,0,0,2,0,1,0,1
bookstore-tdd,com.example.bookstore.model.enums,UserRole,0,15,0,0,0,2,0,1,0,1
bookstore-tdd,com.example.bookstore.model,Cart,0,40,0,0,0,14,0,8,0,8
bookstore-tdd,com.example.bookstore.model,Payment,0,38,0,0,0,16,0,11,0,11
bookstore-tdd,com.example.bookstore.model,Book,0,81,0,0,0,31,0,20,0,20
bookstore-tdd,com.example.bookstore.model,Order,0,33,0,0,0,13,0,8,0,8
bookstore-tdd,com.example.bookstore.model,Category,0,33,0,0,0,13,0,8,0,8
bookstore-tdd,com.example.bookstore.model,CartItem,0,33,0,0,0,13,0,8,0,8
bookstore-tdd,com.example.bookstore.model,Review,0,45,0,0,0,19,0,13,0,13
bookstore-tdd,com.example.bookstore.model,User,0,68,0,0,0,28,0,18,0,18
